date,X1,XMA1,XMA2,XMSD1,XMSD2,XFD1,XFD2,Z1,Z2,Z3,Z4,Z5,Z6,Z7
2025-02-14 00:00:00-05:00,205.44952812997886,206.28427464160868,210.8928147026458,3.4143209652156283,7.32084973151778,3.9346744017338438,-3.7155211651912623,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-18 00:00:00-05:00,205.0510859699045,205.46148197655552,210.40322283769115,2.5988933313663374,7.101270034215673,-0.39844216007435307,-3.9745063371653373,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-19 00:00:00-05:00,201.81369502483253,204.0191025201081,209.52912930758484,2.587912981158697,7.2718737011219226,-3.2373909450719793,-4.452654722746985,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-20 00:00:00-05:00,199.56245357983576,202.67832328655933,208.27949792790687,2.444304425480108,7.284184684716945,-2.251241444996765,-1.9524001484092537,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-21 00:00:00-05:00,201.90333753329475,202.75602004756928,207.18326873861673,2.0663965794152763,6.549028081069918,2.3408839534589845,-3.546190596684113,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-24 00:00:00-05:00,198.0184775956763,201.26980994070877,205.8081273076748,2.678302151339982,5.8424839379210205,-3.884859937618444,-7.032608374228204,10.0,10.0,10.0,30.0,30.0,5.0,10.0
2025-02-25 00:00:00-05:00,192.77888316000755,198.81536937872937,205.13724053188585,3.8419029362159653,4.920318002193362,-5.239594435668749,-9.034811864824974,30.0,30.0,15.0,30.0,30.0,5.0,10.0
2025-02-26 00:00:00-05:00,195.31899481597554,197.516429336958,204.80055272678752,3.3252828724914156,5.341387569254399,2.5401116559679906,-4.243458763860218,30.0,30.0,15.0,30.0,30.0,5.0,10.0
2025-02-27 00:00:00-05:00,194.01407520465727,196.4067536619223,204.21881929843,3.193179288796456,5.7848557828383536,-1.3049196113182688,-7.8892623286374715,30.0,30.0,15.0,30.0,30.0,2.3076923076923075,10.0
2025-02-28 00:00:00-05:00,181.4530243911608,192.3166910334955,202.85114832496197,6.314331293421382,7.541661169623834,-12.561050813496479,-16.565453204515507,30.0,30.0,15.0,30.0,30.0,2.3076923076923075,10.0
